codigo_upz,nombre_upz,codigo_localidad,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_14,poblacion_15_59,poblacion_60_mas
106,LA ESMERALDA,13,2018,35620.0,16336.0,19284.0,6934.0,20597.0,8089.0
107,QUINTA PAREDES,13,2018,25448.0,11749.0,13699.0,4670.0,15923.0,4855.0
109,CIUDAD SALITRE ORIENTAL,13,2018,21236.0,9763.0,11473.0,4944.0,13079.0,3213.0
037,SANTA ISABEL,14,2018,38204.0,18413.0,19791.0,8984.0,23318.0,5902.0
102,LA SABANA,14,2018,35073.0,17460.0,17613.0,8208.0,22026.0,4839.0
035,CIUDAD JARDIN,15,2018,24983.0,11921.0,13062.0,5904.0,15058.0,4021.0
038,RESTREPO,15,2018,54246.0,26004.0,28242.0,12732.0,32687.0,8827.0
040,CIUDAD MONTES,16,2018,98166.0,46098.0,52068.0,22558.0,60014.0,15594.0
041,MUZU,16,2018,56895.0,26833.0,30062.0,12907.0,34961.0,9027.0
043,SAN RAFAEL,16,2018,71167.0,33640.0,37527.0,16669.0,43537.0,10961.0
108,ZONA INDUSTRIAL,16,2018,5977.0,2974.0,3003.0,1653.0,3716.0,608.0
111,PUENTE ARANDA,16,2018,10700.0,8209.0,2491.0,1662.0,8264.0,774.0
094,LA CANDELARIA,17,2018,17075.0,9012.0,8063.0,3267.0,11134.0,2674.0
036,SAN JOSE,18,2018,46555.0,22110.0,24445.0,11452.0,28300.0,6803.0
039,QUIROGA,18,2018,88243.0,42702.0,45541.0,21788.0,53043.0,13412.0
053,MARCO FIDEL SUAREZ,18,2018,46417.0,22472.0,23945.0,13188.0,27893.0,5336.0
054,MARRUECOS,18,2018,111476.0,58191.0,53285.0,30644.0,69904.0,10928.0
055,DIANA TURBAY,18,2018,71841.0,34863.0,36978.0,21606.0,42208.0,8027.0
063,EL MOCHUELO,19,2018,36.0,18.0,18.0,10.0,23.0,3.0
064,MONTE BLANCO,19,2018,5331.0,2681.0,2650.0,1858.0,3057.0,416.0
065,ARBORIZADORA,19,2018,77129.0,36651.0,40478.0,20834.0,48415.0,7880.0
066,SAN FRANCISCO,19,2018,68147.0,33151.0,34996.0,19759.0,40685.0,7703.0
067,LUCERO,19,2018,153854.0,75900.0,77954.0,50100.0,89417.0,14337.0
068,EL TESORO,19,2018,49741.0,24609.0,25132.0,16432.0,29453.0,3856.0
069,ISMAEL PERDOMO,19,2018,155423.0,75643.0,79780.0,45640.0,96412.0,13371.0
070,JERUSALEM,19,2018,95007.0,46315.0,48692.0,29688.0,56644.0,8675.0
001,PASEO DE LOS LIBERTADORES,01,2019,2600.0,1290.0,1310.0,657.0,1660.0,283.0
009,VERBENAL,01,2019,122846.0,58304.0,64542.0,34160.0,76516.0,12170.0
010,LA URIBE,01,2019,32847.0,15073.0,17774.0,8646.0,19839.0,4362.0
011,SAN CRISTOBAL NORTE,01,2019,69583.0,33094.0,36489.0,18678.0,42452.0,8453.0
012,TOBERIN,01,2019,60119.0,27691.0,32428.0,13747.0,36270.0,10102.0
013,LOS CEDROS,01,2019,126709.0,56235.0,70474.0,23918.0,74199.0,28592.0
014,USAQUEN,01,2019,40864.0,19334.0,21530.0,9088.0,24334.0,7442.0
015,COUNTRY CLUB,01,2019,24930.0,11193.0,13737.0,5184.0,13387.0,6359.0
016,SANTA BARBARA,01,2019,69692.0,31336.0,38356.0,13684.0,39604.0,16404.0
088,EL REFUGIO,02,2019,38131.0,17146.0,20985.0,8442.0,21362.0,8327.0
089,SAN ISIDRO - PATIOS,02,2019,15990.0,7938.0,8052.0,4580.0,9840.0,1570.0
090,PARDO RUBIO,02,2019,48444.0,23772.0,24672.0,10271.0,32760.0,5413.0
097,CHICO LAGO,02,2019,35317.0,16530.0,18787.0,7271.0,21291.0,6755.0
099,CHAPINERO,02,2019,24350.0,12131.0,12219.0,3530.0,17742.0,3078.0
091,SAGRADO CORAZON,03,2019,10455.0,5227.0,5228.0,2005.0,7003.0,1447.0
092,LA MACARENA,03,2019,12202.0,5967.0,6235.0,2363.0,7857.0,1982.0
093,LAS NIEVES,03,2019,16732.0,8688.0,8044.0,3233.0,11177.0,2322.0
095,LAS CRUCES,03,2019,20699.0,10468.0,10231.0,5474.0,12564.0,2661.0
096,LOURDES,03,2019,44916.0,21929.0,22987.0,12906.0,26734.0,5276.0
032,SAN BLAS,04,2019,100158.0,48276.0,51882.0,28661.0,60417.0,11080.0
033,SOSIEGO,04,2019,42929.0,20777.0,22152.0,10708.0,26201.0,6020.0
034,20 DE JULIO,04,2019,79273.0,38381.0,40892.0,20241.0,48350.0,10682.0
050,LA GLORIA,04,2019,94512.0,45835.0,48677.0,27139.0,56450.0,10923.0
051,LOS LIBERTADORES,04,2019,75389.0,36613.0,38776.0,22551.0,44947.0,7891.0
052,LA FLORA,05,2019,18698.0,9293.0,9405.0,6064.0,10859.0,1775.0
056,DANUBIO,05,2019,52260.0,25328.0,26932.0,16690.0,31816.0,3754.0
057,GRAN YOMASA,05,2019,126208.0,61504.0,64704.0,36616.0,75085.0,14507.0
058,COMUNEROS,05,2019,94210.0,46147.0,48063.0,27890.0,56544.0,9776.0
059,ALFONSO LOPEZ,05,2019,49881.0,24697.0,25184.0,15342.0,30060.0,4479.0
060,PARQUE ENTRENUBES,05,2019,1059.0,546.0,513.0,396.0,597.0,66.0
061,CIUDAD USME,05,2019,24120.0,11716.0,12404.0,7714.0,14432.0,1974.0
042,VENECIA,06,2019,135143.0,65748.0,69395.0,34486.0,82938.0,17719.0
062,TUNJUELITO,06,2019,40338.0,20057.0,20281.0,10946.0,24292.0,5100.0
049,APOGEO,07,2019,36680.0,17572.0,19108.0,9287.0,21898.0,5495.0
084,BOSA OCCIDENTAL,07,2019,197598.0,96423.0,101175.0,58723.0,122726.0,16149.0
085,BOSA CENTRAL,07,2019,235154.0,113173.0,121981.0,67880.0,141607.0,25667.0
086,EL PORVENIR,07,2019,135548.0,64819.0,70729.0,42118.0,84264.0,9166.0
087,TINTAL SUR,07,2019,102193.0,48023.0,54170.0,32404.0,63674.0,6115.0
044,AMERICAS,08,2019,79566.0,37622.0,41944.0,19360.0,47809.0,12397.0
045,CARVAJAL,08,2019,90316.0,43586.0,46730.0,22553.0,54644.0,13119.0
046,CASTILLA,08,2019,140077.0,66585.0,73492.0,35940.0,87322.0,16815.0
047,KENNEDY CENTRAL,08,2019,94452.0,44671.0,49781.0,22444.0,55591.0,16417.0
048,TIMIZA,08,2019,141477.0,67751.0,73726.0,36896.0,85087.0,19494.0
078,TINTAL NORTE,08,2019,28489.0,13406.0,15083.0,8650.0,17641.0,2198.0
079,CALANDAIMA,08,2019,124530.0,58973.0,65557.0,36916.0,78212.0,9402.0
080,CORABASTOS,08,2019,56948.0,28430.0,28518.0,17242.0,35516.0,4190.0
081,GRAN BRITALIA,08,2019,63105.0,30784.0,32321.0,17807.0,38028.0,7270.0
082,PATIO BONITO,08,2019,139919.0,69497.0,70422.0,41791.0,86085.0,12043.0
083,LAS MARGARITAS,08,2019,29612.0,14096.0,15516.0,9010.0,18450.0,2152.0
113,BAVARIA,08,2019,38882.0,18157.0,20725.0,10027.0,23497.0,5358.0
075,FONTIBON,09,2019,132711.0,63220.0,69491.0,32646.0,81334.0,18731.0
076,FONTIBON SAN PABLO,09,2019,33460.0,16412.0,17048.0,9283.0,20767.0,3410.0
077,ZONA FRANCA,09,2019,59306.0,27758.0,31548.0,16673.0,37895.0,4738.0
110,CIUDAD SALITRE OCCIDENTAL,09,2019,44029.0,20708.0,23321.0,8711.0,27728.0,7590.0
112,GRANJAS DE TECHO,09,2019,46249.0,21405.0,24844.0,12478.0,28555.0,5216.0
114,MODELIA,09,2019,42971.0,19837.0,23134.0,9106.0,25804.0,8061.0
115,CAPELLANIA,09,2019,17600.0,8296.0,9304.0,4136.0,11157.0,2307.0
117,AEROPUERTO EL DORADO,09,2019,792.0,522.0,270.0,122.0,624.0,46.0
026,LAS FERIAS,10,2019,100326.0,47689.0,52637.0,22628.0,61677.0,16021.0
029,MINUTO DE DIOS,10,2019,110132.0,51826.0,58306.0,25631.0,65540.0,18961.0
030,BOYACA REAL,10,2019,126703.0,60157.0,66546.0,29722.0,78421.0,18560.0
031,SANTA CECILIA,10,2019,66553.0,31111.0,35442.0,14348.0,39983.0,12222.0
072,BOLIVIA,10,2019,82461.0,37551.0,44910.0,16871.0,52015.0,13575.0
