sector,ruta,archivo,formato,tamano_mb,error_lectura,encoding,separador,crs,geometria,filas_totales,filas_muestra,columnas,n_unnamed,n_cols_vacias,filas_titulo_omitidas,pct_nulos_total,duplicados,columnas_territoriales,variables_numericas,variables_categoricas,variables_temporales,variables_espaciales,encoding_legacy,muestra_por_performance,bbox_fuera_bogota,problemas_detectados,capa_hoja
raw,raw\FINANZAS_INVERSION_PUBLICA\vendedores_informales_consolidado.csv,FINANZAS_INVERSION_PUBLICA\vendedores_informales_consolidado.csv,csv,0.012,,utf-8,",",,,,126.0,6.0,0,0,0,0.0,0.0,"codigo_localidad, nombre_localidad",3,2,1,0,False,False,False,sin_alertas,
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\5.-parques-idrd.csv,INFRAESTRUCTURA_ESPACIO_PUBLICO\5.-parques-idrd.csv,csv,0.008,,latin-1,;,,,,139.0,5.0,0,0,0,0.0,0.0,Nombre Localidad,0,4,0,0,True,False,False,encoding_legacy,
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\estado\Estado.csv,INFRAESTRUCTURA_ESPACIO_PUBLICO\estado\Estado.csv,csv,4.221,,utf-8,",",,,,104550.0,4.0,0,0,0,0.0,0.0,,1,0,1,0,False,False,False,sin_columna_territorial,
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,44414.0,,4.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Manz
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,933426.0,,8.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Lote
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,1217.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",SCat
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,2415108.0,,11.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Cons
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,13252.0,,14.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",CDAg
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,1575.0,,5.0,0,0,0,,,,0,0,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",CNiv
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,1.0,1.0,6.0,0,0,0,0.0,0.0,,3,3,0,0,False,True,False,"sin_columna_territorial, muestra_por_performance",Muni
