archivo,sector,formato,tam_mb
MOVILIDAD\Validaciones\2025-Troncal-01 TM Resumen de Validaciones Troncales al 31 de Enero 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.63
MOVILIDAD\Validaciones\2025-Troncal-02 TM Resumen de Validaciones Troncales al 28 de Febrero 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.4
MOVILIDAD\Validaciones\2025-Troncal-03 TM Resumen de Validaciones Troncales al 31 de Marzo 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.36
MOVILIDAD\Validaciones\2025-Troncal-04 TM Resumen de Validaciones Troncales al 30 de Abril 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.31
MOVILIDAD\Validaciones\2025-Troncal-05 TM Resumen de Validaciones Troncales al 31 de Mayo 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.35
MOVILIDAD\Validaciones\2025-Troncal-06 TM Resumen de Validaciones Troncales al 30 de Junio 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.05
MOVILIDAD\Validaciones\2025-Troncal-07 TM Resumen de Validaciones Troncales al 31 de Julio 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.51
MOVILIDAD\Validaciones\2025-Troncal-08 TM Resumen de Validaciones Troncales al 31 de Agosto del 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.13
MOVILIDAD\Validaciones\2025-Troncal-09 TM Resumen de Validaciones Troncales al 30 de Septiembre del 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.4
MOVILIDAD\Validaciones\2025-Troncal-10 TM Resumen de Validaciones Troncales al 31 de Octubre del 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.33
MOVILIDAD\Validaciones\2025-Troncal-11 TM Resumen de Validaciones Troncales al 30 de Noveimbre del 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.39
MOVILIDAD\Validaciones\2025-Troncal-12 TM Resumen de Validaciones Troncales al 31 de Diciembre del 2025 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.51
MOVILIDAD\Validaciones\2025-Zonal-01 TM Reporte de Validaciones Zonales Intervalo al 31 de Enero 2025.xlsx,MOVILIDAD,XLSX,11.5
MOVILIDAD\Validaciones\2025-Zonal-02 TM Reporte de Validaciones Zonales Intervalo al 28 de Febrero 2025.xlsx,MOVILIDAD,XLSX,11.46
MOVILIDAD\Validaciones\2025-Zonal-03 TM Reporte de Validaciones Zonales Intervalo al 31 de Marzo 2025.xlsx,MOVILIDAD,XLSX,11.56
MOVILIDAD\Validaciones\2025-Zonal-04 TM Reporte de Validaciones Zonales Intervalo al 30 de Abril 2025.xlsx,MOVILIDAD,XLSX,11.54
MOVILIDAD\Validaciones\2025-Zonal-05 TM Reporte de Validaciones Zonales Intervalo al 31 de Mayo 2025.xlsx,MOVILIDAD,XLSX,11.56
MOVILIDAD\Validaciones\2025-Zonal-06 TM Reporte de Validaciones Zonales Intervalo al 30 de Junio 2025.xlsx,MOVILIDAD,XLSX,11.49
MOVILIDAD\Validaciones\2025-Zonal-07 TM Reporte de Validaciones Zonales Intervalo al 31 de Julio 2025.xlsx,MOVILIDAD,XLSX,11.53
MOVILIDAD\Validaciones\2025-Zonal-08 TM Reporte de Validaciones Zonales Intervalo al 31 de Agosto del 2025.xlsx,MOVILIDAD,XLSX,11.56
MOVILIDAD\Validaciones\2025-Zonal-09 TM Reporte de Validaciones Zonales Intervalo al 30 de Septiembre del 2025.xlsx,MOVILIDAD,XLSX,11.53
MOVILIDAD\Validaciones\2025-Zonal-10 TM Reporte de Validaciones Zonales Intervalo al 31 de Octubre del 2025.xlsx,MOVILIDAD,XLSX,11.57
MOVILIDAD\Validaciones\2025-Zonal-11 TM Reporte de Validaciones Zonales Intervalo al 30 de Noviembre del 2025.xlsx,MOVILIDAD,XLSX,12.43
MOVILIDAD\Validaciones\2025-Zonal-12 TM Reporte de Validaciones Zonales Intervalo al 31 de Diciembre del 2025.xlsx,MOVILIDAD,XLSX,12.14
MOVILIDAD\Validaciones\2026-Troncal-01 TM Resumen de Validaciones Troncales al 31 de Enero del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.19
MOVILIDAD\Validaciones\2026-Troncal-02 TM Resumen de Validaciones Troncales al 28 de Febrero del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.27
MOVILIDAD\Validaciones\2026-Troncal-03 TM Resumen de Validaciones Troncales al 31 de Marzo del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.36
MOVILIDAD\Validaciones\2026-Troncal-04 TM Resumen de Validaciones Troncales al 30 de Abril del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.65
MOVILIDAD\Validaciones\2026-Troncal-05 TM Resumen de Validaciones Troncales al 31 de Mayo del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.44
MOVILIDAD\Validaciones\2026-Troncal-06 TM Resumen de Validaciones Troncales al 30 de Junio del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.25
MOVILIDAD\Validaciones\2026-Troncal-07 TM Resumen de Validaciones Troncales al 31 de Julio del 2026 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.45
MOVILIDAD\Validaciones\2026-Zonal-01 TM Reporte de Validaciones Zonales Intervalo al 31 de Enero del 2026.xlsx,MOVILIDAD,XLSX,11.78
MOVILIDAD\Validaciones\2026-Zonal-02 TM Reporte de Validaciones Zonales Intervalo al 28 de Febrero del 2026.xlsx,MOVILIDAD,XLSX,11.72
MOVILIDAD\Validaciones\2026-Zonal-03 TM Reporte de Validaciones Zonales Intervalo al 31 de Marzo del 2026.xlsx,MOVILIDAD,XLSX,11.81
MOVILIDAD\Validaciones\2026-Zonal-04 TM Reporte de Validaciones Zonales Intervalo al 30 de Abril del 2026.xlsx,MOVILIDAD,XLSX,11.79
MOVILIDAD\Validaciones\2026-Zonal-05 TM Reporte de Validaciones Zonales Intervalo al 31 de Mayo del 2026.xlsx,MOVILIDAD,XLSX,11.81
MOVILIDAD\Validaciones\2026-Zonal-06 TM Reporte de Validaciones Zonales Intervalo al 30 de Junio del 2026.xlsx,MOVILIDAD,XLSX,11.75
MOVILIDAD\Validaciones\2026-Zonal-07 TM Reporte de Validaciones Zonales Intervalo al 31 de Julio del 2026.xlsx,MOVILIDAD,XLSX,11.8
MOVILIDAD\zonas_zat.geojson,MOVILIDAD,GEOJSON,27.34
PARTICIPACION_CIUDADANA\pqr_bogota_te_escucha_por_localidad.csv,PARTICIPACION_CIUDADANA,CSV,0.0
SALUD\capacidad_camas_asistencial_localidad.csv,SALUD,CSV,0.0
SALUD\ips_sds.gpkg,SALUD,GPKG,1.38
SALUD\osb_ofertasrv-ips-urgencias.csv,SALUD,CSV,0.02
SALUD\osb_tiporazoncamas.csv,SALUD,CSV,0.0
SEGURIDAD\Cuadrante de Policía. Bogotá D.C.csv,SEGURIDAD,CSV,1.37
SEGURIDAD\Cuadrante de Policía. Bogotá D.C_20260731.csv,SEGURIDAD,CSV,1.37
SEGURIDAD\delitos_alto_impacto_localidad_2024_2026.csv,SEGURIDAD,CSV,0.0
SERVICIOS_PUBLICOS\cobertura_conectividad_tic_localidad.csv,SERVICIOS_PUBLICOS,CSV,0.0
SERVICIOS_PUBLICOS\eaab_calidad_agua_irca_localidad.csv,SERVICIOS_PUBLICOS,CSV,0.0
SERVICIOS_PUBLICOS\eaab_cobertura_acueducto_localidad.csv,SERVICIOS_PUBLICOS,CSV,0.0
SERVICIOS_PUBLICOS\uaesp_alumbrado_publico_localidad.csv,SERVICIOS_PUBLICOS,CSV,0.0
